idx,tag,features
5153,TP,"[(np.str_('reunião'), -0.1896815874654989), (np.str_('senador'), -0.18290116358867092), (np.str_('participou'), -0.15974369848025846), (np.str_('veja'), 0.12803161994120543), (np.str_('revista'), -0.1182551919843219), (np.str_('conta'), -0.11344135804835091), (np.str_('bndes'), -0.11160973098005271), (np.str_('bolsonaro'), -0.09940471025172858), (np.str_('presidente'), -0.09467496795793559), (np.str_('disse'), -0.09316361418330893), (np.str_('francisco'), -0.09039940423357429), (np.str_('outubro'), 0.05504475602947906), (np.str_('outra'), 0.052513836556875054), (np.str_('ambos'), 0.03167066596143558), (np.str_('informação'), 0.026311430305724033)]"
5960,TP,"[(np.str_('esperado'), -0.0331176268385158), (np.str_('relatório'), -0.032416936853646466), (np.str_('hoje'), -0.03230738449776813), (np.str_('cenário'), -0.03100743538547765), (np.str_('agência'), -0.02777947422006632), (np.str_('expansão'), -0.026438754831734763), (np.str_('atividade'), -0.02625938152394982), (np.str_('firme'), -0.025410598940280037), (np.str_('ano'), -0.023851838945822317), (np.str_('previsão'), -0.021891760175263904), (np.str_('mercados'), -0.019809401895708095), (np.str_('global'), -0.018572109940262635), (np.str_('ratings'), -0.018475037793792278), (np.str_('produto'), 0.01657364558595106), (np.str_('bruto'), 0.00920806658931427)]"
1789,TP,"[(np.str_('poderão'), -0.03432417481563668), (np.str_('presenciais'), -0.0330962229270716), (np.str_('número'), -0.02877920670078897), (np.str_('unidades'), -0.028274811001474724), (np.str_('sábado'), -0.02745152215197492), (np.str_('neste'), 0.02694276476127412), (np.str_('protocolos'), -0.026712511319638373), (np.str_('cursinhos'), -0.02601452913604496), (np.str_('alto'), -0.025612393042828144), (np.str_('instituições'), -0.02248449621309292), (np.str_('autorização'), -0.01967850367422052), (np.str_('publicada'), 0.012558684862311346), (np.str_('respectivas'), 0.009256707752593), (np.str_('enfermagem'), 0.007880224118899114), (np.str_('partir'), 0.003261798507056856)]"
7929,TN,"[(np.str_('justiça'), -0.009938885290512987), (np.str_('responsabilidade'), -0.006953208076672361), (np.str_('pública'), -0.006177227611354024), (np.str_('flávio'), -0.005817953257827042), (np.str_('segurança'), -0.005737779905851325), (np.str_('informações'), -0.005081541075001358), (np.str_('investigado'), -0.00486522159110695), (np.str_('brasil'), 0.004680002751773565), (np.str_('armamento'), 0.004537605521501054), (np.str_('armas'), 0.0035387530971904336), (np.str_('apreensão'), -0.0027714349555820945), (np.str_('recadastramento'), -0.0026519657059095813), (np.str_('circula'), 0.002055133246874206), (np.str_('sociais'), 0.0020000693548578013), (np.str_('dino'), 0.001842102575181676)]"
1155,TN,"[(np.str_('incêndio'), 0.0012812271679179081), (np.str_('surgiu'), -0.0012337402678147817), (np.str_('sociais'), 0.0008626741981040622), (np.str_('acervo'), 0.0008363583469114274), (np.str_('setembro'), 0.0007102194530530912), (np.str_('janeiro'), 0.0007042123770674128), (np.str_('começo'), 0.0006995452527740515), (np.str_('todo'), -0.0005555164770751495), (np.str_('enorme'), 0.0005132113588113458), (np.str_('notícia'), 0.00048694546179056707), (np.str_('após'), 0.0004780960627288982), (np.str_('dia'), 0.0004650735884363483), (np.str_('museu'), 0.00044683541588029675), (np.str_('rio'), 0.00039852484087539707), (np.str_('horas'), 0.00033597062370208054)]"
2488,TN,"[(np.str_('leia'), -0.006324610402336661), (np.str_('redes'), 0.005032846510089737), (np.str_('checagem'), 0.0048648690023868355), (np.str_('estrada'), 0.004617883564349917), (np.str_('aqui'), 0.004570484008628686), (np.str_('produzida'), 0.004373186597569655), (np.str_('contra'), -0.004129991252525292), (np.str_('inácio'), -0.0037931599702198788), (np.str_('parceria'), -0.0034175797893135217), (np.str_('investigado'), 0.0031098282547615953), (np.str_('sul'), 0.002990859125385218), (np.str_('coalizão'), 0.0029771398953980714), (np.str_('conteúdo'), 0.0028606554015113378), (np.str_('jornalistas'), -0.0026213477504608293), (np.str_('legenda'), -0.0024244259589144015)]"
7567,FP,"[(np.str_('via'), 0.10756209963018347), (np.str_('leia'), -0.09706077255914061), (np.str_('espera'), -0.06969481779514573), (np.str_('suspensa'), -0.06546705659110702), (np.str_('teatro'), -0.05576942523019198), (np.str_('cultura'), -0.0437377907796196), (np.str_('direita'), 0.04308994766840942), (np.str_('macaquinhos'), 0.041310229685285055), (np.str_('peça'), 0.0305124149802945), (np.str_('após'), 0.02853421161169586), (np.str_('captar'), 0.025933451473263307), (np.str_('anos'), -0.024247726349079003), (np.str_('rouanet'), -0.021858243197076407), (np.str_('performance'), 0.015700755511769568), (np.str_('volta'), -0.00941126885602792)]"
1885,FP,"[(np.str_('selecionou'), -0.16396203946335697), (np.str_('pautados'), -0.13088036182325408), (np.str_('outubro'), 0.12563357994794383), (np.str_('checar'), 0.12429955913385457), (np.str_('mdb'), 0.10962139099663963), (np.str_('ajustes'), -0.10724300474616609), (np.str_('bases'), -0.1066969255134953), (np.str_('regrediu'), -0.10283290610142069), (np.str_('completa'), -0.10134463759663905), (np.str_('neste'), 0.09669269676246037), (np.str_('rousseff'), 0.07904653778708877), (np.str_('cargo'), -0.07304388841351617), (np.str_('fatos'), 0.07145424501160463), (np.str_('futuro'), -0.0711967977770546), (np.str_('documento'), -0.05991235775779242)]"
7918,FP,"[(np.str_('deixa'), 0.22134280777442503), (np.str_('moraes'), 0.19076189498378932), (np.str_('pediu'), -0.1554375066402614), (np.str_('alexandre'), -0.14824462124795876), (np.str_('tribunal'), -0.14334121120685858), (np.str_('enviada'), -0.11554376703909623), (np.str_('processuais'), -0.11167511013295565), (np.str_('luiz'), -0.10591907832874872), (np.str_('porta'), 0.10432213459463473), (np.str_('aconselhado'), -0.09618513751974912), (np.str_('garantias'), -0.07907246181193148), (np.str_('pressões'), -0.07773654505104227), (np.str_('seguimento'), -0.058000932316713744), (np.str_('humilhar'), 0.052039522432796234), (np.str_('kajuru'), 0.036340526436026505)]"
9557,FN,"[(np.str_('anos'), -0.13448751367930423), (np.str_('assim'), 0.1326577717430589), (np.str_('apenas'), 0.11367440748496194), (np.str_('cerca'), -0.11221479106504638), (np.str_('seis'), -0.11011580098617399), (np.str_('brasil'), 0.10682327483792793), (np.str_('nascida'), -0.10061466731550994), (np.str_('mora'), -0.09914599761912607), (np.str_('euros'), -0.09417796888825215), (np.str_('filhos'), -0.0899294285862273), (np.str_('aluguel'), -0.07369045740818335), (np.str_('gestarem'), 0.07338452818800804), (np.str_('solidária'), -0.06622336921707965), (np.str_('pagam'), 0.06601154927201974), (np.str_('permitida'), 0.04690299786959508)]"
9590,FN,"[(np.str_('precisa'), -0.009527720576575745), (np.str_('divulgou'), 0.008919289499281358), (np.str_('testá'), 0.008737107051366821), (np.str_('configuração'), -0.007459770426237634), (np.str_('redefinida'), -0.0074099125060987335), (np.str_('redefinição'), -0.006315733869042726), (np.str_('forçada'), -0.00618072358543772), (np.str_('las'), 0.006067969934004013), (np.str_('popularidade'), -0.004614244491240698), (np.str_('smartphones'), -0.004299858335908192), (np.str_('papel'), -0.004288267960891631), (np.str_('restauração'), -0.00411762924441594), (np.str_('recomendado'), 0.0034397301590643357), (np.str_('pode'), 0.0034365054920613212), (np.str_('manual'), -0.0031965142327727678)]"
5872,FN,"[(np.str_('afirma'), 0.19606088243322362), (np.str_('coluna'), -0.14476914327546936), (np.str_('jair'), -0.09001732415859079), (np.str_('culpado'), 0.07998880083634459), (np.str_('publicada'), 0.07181656115150825), (np.str_('coronavírus'), -0.07035695898033617), (np.str_('radar'), -0.061181277724421314), (np.str_('pazuello'), -0.05263504389608145), (np.str_('rodrigo'), -0.05190193401979808), (np.str_('partido'), -0.051552640278703286), (np.str_('presidente'), -0.05103104457501089), (np.str_('vacinação'), -0.0481261746932079), (np.str_('diretamente'), 0.04408919032051189), (np.str_('popularidade'), -0.03812079453418214), (np.str_('saúde'), -0.03629723804559544)]"
