tag,token,abs_weight_sum,n_examples
TP,reunião,0.1897,3
TP,senador,0.1829,3
TP,participou,0.1597,3
TP,veja,0.128,3
TP,revista,0.1183,3
TP,conta,0.1134,3
TP,bndes,0.1116,3
TP,bolsonaro,0.0994,3
TP,presidente,0.0947,3
TP,disse,0.0932,3
TP,francisco,0.0904,3
TP,outubro,0.055,3
TP,outra,0.0525,3
TP,poderão,0.0343,3
TP,esperado,0.0331,3
TP,presenciais,0.0331,3
TP,relatório,0.0324,3
TP,hoje,0.0323,3
TP,ambos,0.0317,3
TP,cenário,0.031,3
TN,justiça,0.0099,3
TN,investigado,0.008,3
TN,responsabilidade,0.007,3
TN,leia,0.0063,3
TN,pública,0.0062,3
TN,flávio,0.0058,3
TN,segurança,0.0057,3
TN,informações,0.0051,3
TN,redes,0.005,3
TN,checagem,0.0049,3
TN,brasil,0.0047,3
TN,estrada,0.0046,3
TN,aqui,0.0046,3
TN,armamento,0.0045,3
TN,produzida,0.0044,3
TN,contra,0.0041,3
TN,inácio,0.0038,3
TN,armas,0.0035,3
TN,parceria,0.0034,3
TN,sul,0.003,3
FP,deixa,0.2213,3
FP,moraes,0.1908,3
FP,selecionou,0.164,3
FP,pediu,0.1554,3
FP,alexandre,0.1482,3
FP,tribunal,0.1433,3
FP,pautados,0.1309,3
FP,outubro,0.1256,3
FP,checar,0.1243,3
FP,enviada,0.1155,3
FP,processuais,0.1117,3
FP,mdb,0.1096,3
FP,via,0.1076,3
FP,ajustes,0.1072,3
FP,bases,0.1067,3
FP,luiz,0.1059,3
FP,porta,0.1043,3
FP,regrediu,0.1028,3
FP,completa,0.1013,3
FP,leia,0.0971,3
FN,afirma,0.1961,3
FN,coluna,0.1448,3
FN,anos,0.1345,3
FN,assim,0.1327,3
FN,apenas,0.1137,3
FN,cerca,0.1122,3
FN,seis,0.1101,3
FN,brasil,0.1068,3
FN,nascida,0.1006,3
FN,mora,0.0991,3
FN,euros,0.0942,3
FN,jair,0.09,3
FN,filhos,0.0899,3
FN,culpado,0.08,3
FN,aluguel,0.0737,3
FN,gestarem,0.0734,3
FN,publicada,0.0718,3
FN,coronavírus,0.0704,3
FN,solidária,0.0662,3
FN,pagam,0.066,3
